id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante,jornada
4,4,1,2,4,4,3,2,1,0,8,1,55,45,9,10,1
19,19,1,0,5,5,0,0,0,0,6,4,38,61,9,7,2
28,28,1,2,4,5,3,4,0,0,6,3,65,35,16,7,3
35,35,1,0,5,5,4,2,0,0,1,2,39,61,7,9,4
46,46,3,0,5,5,1,5,0,0,5,8,37,62,12,11,5
51,51,2,2,5,5,4,2,0,0,7,3,61,38,17,7,6
67,67,0,1,4,5,4,7,1,0,0,2,37,63,9,2,7
74,74,3,0,5,5,2,2,0,0,5,3,55,44,15,9,8
83,83,1,1,5,4,2,1,0,0,3,6,48,51,9,11,9
95,95,2,0,5,5,0,3,0,1,4,5,61,38,12,5,10
102,102,2,2,5,4,3,1,0,0,10,4,57,42,12,11,11
119,119,1,0,5,5,3,5,0,0,0,4,51,48,11,6,12
124,124,5,1,5,5,1,3,0,0,4,4,55,44,16,10,13
138,138,0,0,5,5,3,2,0,0,5,7,54,45,8,13,14
143,143,2,1,4,5,3,3,0,0,3,2,75,24,9,9,15
154,154,1,0,4,4,2,4,1,2,7,0,67,32,8,3,16
169,169,1,1,5,2,1,2,0,0,4,6,35,64,11,16,17
176,176,0,1,5,5,1,5,0,1,7,1,59,40,7,8,18
189,189,3,1,5,5,2,5,0,0,4,3,45,54,11,8,19
192,192,1,4,5,5,4,2,0,0,3,1,57,42,10,9,20
208,208,1,0,4,5,0,3,0,0,4,2,39,60,6,6,21
210,210,2,0,5,5,2,0,0,0,3,6,54,45,12,10,22
228,228,2,1,4,5,4,5,0,1,0,6,48,51,7,15,23
239,239,2,0,5,4,2,0,0,0,5,0,72,27,8,7,24
248,248,0,0,4,5,0,1,0,0,7,2,53,46,14,1,25
254,254,0,1,4,4,3,1,0,0,5,4,56,43,13,6,26
268,268,2,2,5,5,2,3,0,1,2,2,29,70,12,10,27
279,279,1,0,5,5,2,3,0,0,5,5,51,48,10,15,28
289,289,1,0,5,5,5,1,0,0,5,2,53,46,13,14,29
298,298,0,0,5,5,0,2,0,0,3,3,52,47,14,11,30
301,301,0,1,4,5,0,2,0,0,4,1,65,34,13,4,31
