nombreSale,nombreEntra,posicionSale,posicionEntra,minuto,goles,asistencias,lesion,amarillas
Éder Militão,A. Rüdiger,Defensa,Defensa,50,0,0,1,0
E. Camavinga,Toni Kroos,Centrocampista,Centrocampista,71,0,0,0,0
Vinícius Júnior,Luka Modrić,Delantero,Centrocampista,80,0,0,0,0
Rodrygo,Joselu,Delantero,Delantero,80,1,0,0,0
Toni Kroos,Luka Modrić,Centrocampista,Centrocampista,72,0,1,0,0
F. Valverde,Brahim Díaz,Centrocampista,Centrocampista,90,0,0,0,0
J. Bellingham,Joselu,Centrocampista,Delantero,81,2,1,0,0
Vinícius Júnior,Lucas Vázquez,Delantero,Defensa,90,1,0,0,0
Rodrygo,E. Camavinga,Delantero,Centrocampista,72,0,0,0,0
Fran García,Nacho,Defensa,Defensa,80,0,0,0,0
A. Tchouaméni,Luka Modrić,Centrocampista,Centrocampista,63,0,0,0,0
E. Camavinga,Toni Kroos,Centrocampista,Centrocampista,62,0,0,0,0
Vinícius Júnior,Joselu,Delantero,Delantero,18,0,0,1,0
Fran García,Ferland Mendy,Defensa,Defensa,57,0,0,0,0
Lucas Vázquez,Nacho,Defensa,Defensa,57,0,0,0,0
E. Camavinga,A. Tchouaméni,Centrocampista,Centrocampista,57,0,0,0,0
Toni Kroos,Brahim Díaz,Centrocampista,Centrocampista,70,1,0,0,0
Luka Modrić,Joselu,Centrocampista,Delantero,46,0,0,0,1
F. Valverde,Brahim Díaz,Centrocampista,Centrocampista,87,0,0,0,0
J. Bellingham,Dani Ceballos,Centrocampista,Centrocampista,74,1,1,0,0
Vinícius Júnior,Rodrygo,Delantero,Delantero,68,0,0,0,0
Joselu,Lucas Vázquez,Delantero,Defensa,87,1,1,0,0
Ferland Mendy,Brahim Díaz,Defensa,Centrocampista,88,0,0,0,0
A. Tchouaméni,E. Camavinga,Centrocampista,Centrocampista,67,0,0,0,0
F. Valverde,Luka Modrić,Centrocampista,Centrocampista,67,0,0,0,0
Vinícius Júnior,Fran García,Delantero,Defensa,88,0,0,0,1
Rodrygo,Joselu,Delantero,Delantero,78,0,0,0,0
Ferland Mendy,E. Camavinga,Defensa,Centrocampista,52,0,0,0,0
Toni Kroos,Luka Modrić,Centrocampista,Centrocampista,63,0,0,0,0
Vinícius Júnior,Lucas Vázquez,Delantero,Defensa,96,0,0,0,0
Rodrygo,Joselu,Delantero,Delantero,63,0,0,0,0
Dani Carvajal,Fran García,Defensa,Defensa,88,0,0,0,0
Luka Modrić,Dani Ceballos,Centrocampista,Centrocampista,70,0,1,1,0
F. Valverde,Nico Paz,Centrocampista,Centrocampista,88,0,0,0,1
J. Bellingham,Gonzalo García,Centrocampista,Delantero,78,1,0,0,0
Rodrygo,Lucas Vázquez,Delantero,Defensa,78,2,1,0,0
Lucas Vázquez,Nacho,Defensa,Defensa,83,0,0,0,0
Toni Kroos,Nico Paz,Centrocampista,Centrocampista,83,0,0,0,0
Luka Modrić,Dani Ceballos,Centrocampista,Centrocampista,70,0,0,0,0
Brahim Díaz,Joselu,Centrocampista,Delantero,79,0,1,0,0
